RGIId,REGION,O2Region,CenLon,CenLat,Area,WGMS_ID,N_gla_anom_used,ID_gla_anom_used,min_dist_gla_anom,max_dist_gla_anom,mean_dist_gla_anom,period_reg_obs,N_gla_anom_neighbour_reg,ID_gla_anom_neighbour_reg,period_neighbour_reg_obs,N_geo_obs,period_geo_obs
RGI60-17.04335,SAN,1,-72.9652,-52.4433,0.882,70573.0,1.0,[2000],397.6,397.6,397.6,2001-2023,1.0,['1344'],1976-2001,1.0,['1999.92 - 2019.92']
RGI60-17.04336,SAN,1,-72.9156,-52.4423,0.11,28804.0,1.0,[2000],395.2,395.2,395.2,2001-2023,1.0,['1344'],1976-2001,2.0,"['1999.92 - 2019.92', '2000.17 - 2018.25']"
RGI60-17.04337,SAN,1,-73.4599,-52.448,0.021,no_WGMS_ID,no_obs,no_obs,no_obs,no_obs,no_obs,no_obs,no_obs,no_obs,no_obs,no_obs,no_obs
RGI60-17.04338,SAN,1,-72.9024,-52.4395,0.043,37145.0,1.0,[2000],394.8,394.8,394.8,2001-2023,1.0,['1344'],1976-2001,2.0,"['1999.92 - 2019.92', '2000.17 - 2018.25']"
RGI60-17.04339,SAN,1,-73.4513,-52.4481,0.228,28805.0,no_obs,no_obs,no_obs,no_obs,no_obs,no_obs,no_obs,no_obs,no_obs,no_obs,no_obs
RGI60-17.04340,SAN,1,-73.2026,-52.4428,0.014,37146.0,1.0,[2000],409.6,409.6,409.6,2001-2023,1.0,['1344'],1976-2001,2.0,"['1999.92 - 2019.92', '2000.17 - 2018.25']"
RGI60-17.04341,SAN,1,-73.199,-52.4437,0.018,70574.0,1.0,[2000],409.4,409.4,409.4,2001-2023,1.0,['1344'],1976-2001,1.0,['1999.92 - 2019.92']
RGI60-17.04342,SAN,1,-72.9768,-52.4483,0.55,28806.0,1.0,[2000],397.8,397.8,397.8,2001-2023,1.0,['1344'],1976-2001,1.0,['1999.92 - 2019.92']
RGI60-17.04343,SAN,1,-73.4323,-52.4478,0.224,28807.0,no_obs,no_obs,no_obs,no_obs,no_obs,no_obs,no_obs,no_obs,no_obs,no_obs,no_obs
RGI60-17.04344,SAN,1,-72.9306,-52.4404,0.22,28808.0,1.0,[2000],396.1,396.1,396.1,2001-2023,1.0,['1344'],1976-2001,2.0,"['1999.92 - 2019.92', '2000.17 - 2018.25']"
RGI60-17.04345,SAN,1,-73.1953,-52.4417,0.022,37147.0,1.0,[2000],409.3,409.3,409.3,2001-2023,1.0,['1344'],1976-2001,2.0,"['1999.92 - 2019.92', '2000.17 - 2018.25']"
RGI60-17.04346,SAN,1,-72.9153,-52.4457,0.393,28809.0,1.0,[2000],394.9,394.9,394.9,2001-2023,1.0,['1344'],1976-2001,2.0,"['2000.17 - 2018.25', '1999.92 - 2019.92']"
RGI60-17.04347,SAN,1,-72.9551,-52.4395,0.257,28810.0,1.0,[2000],397.4,397.4,397.4,2001-2023,1.0,['1344'],1976-2001,2.0,"['1999.92 - 2019.92', '2000.17 - 2018.25']"
RGI60-17.04348,SAN,1,-73.3181,-52.444,0.028,no_WGMS_ID,no_obs,no_obs,no_obs,no_obs,no_obs,no_obs,no_obs,no_obs,no_obs,no_obs,no_obs
RGI60-17.04349,SAN,1,-72.9739,-52.4392,0.111,28811.0,1.0,[2000],398.3,398.3,398.3,2001-2023,1.0,['1344'],1976-2001,2.0,"['1999.92 - 2019.92', '2000.17 - 2018.25']"
RGI60-17.04350,SAN,1,-73.4467,-52.4444,0.018,37148.0,1.0,[2000],422.1,422.1,422.1,2001-2023,1.0,['1344'],1976-2001,1.0,['2000.17 - 2018.25']
RGI60-17.04351,SAN,1,-73.1244,-52.4442,0.631,28812.0,1.0,[2000],405.5,405.5,405.5,2001-2023,1.0,['1344'],1976-2001,2.0,"['2000.17 - 2018.25', '1999.92 - 2019.92']"
RGI60-17.04352,SAN,1,-73.3242,-52.4419,0.078,28813.0,no_obs,no_obs,no_obs,no_obs,no_obs,no_obs,no_obs,no_obs,no_obs,no_obs,no_obs
RGI60-17.04353,SAN,1,-72.5372,-52.4282,0.198,37149.0,1.0,[2000],377.9,377.9,377.9,2001-2023,1.0,['1344'],1976-2001,2.0,"['1999.92 - 2019.92', '2000.17 - 2018.25']"
RGI60-17.04354,SAN,1,-72.9742,-52.4354,0.061,28814.0,1.0,[2000],398.7,398.7,398.7,2001-2023,1.0,['1344'],1976-2001,2.0,"['1999.92 - 2019.92', '2000.17 - 2018.25']"
RGI60-17.04355,SAN,1,-73.3333,-52.4391,0.53,no_WGMS_ID,no_obs,no_obs,no_obs,no_obs,no_obs,no_obs,no_obs,no_obs,no_obs,no_obs,no_obs
RGI60-17.04356,SAN,1,-73.0429,-52.4284,0.052,37150.0,1.0,[2000],402.6,402.6,402.6,2001-2023,1.0,['1344'],1976-2001,2.0,"['1999.92 - 2019.92', '2000.17 - 2018.25']"
RGI60-17.04357,SAN,1,-73.0375,-52.4262,0.14,37151.0,1.0,[2000],402.5,402.5,402.5,2001-2023,1.0,['1344'],1976-2001,2.0,"['1999.92 - 2019.92', '2000.17 - 2018.25']"
RGI60-17.04358,SAN,1,-73.0392,-52.4242,0.013,37152.0,1.0,[2000],402.7,402.7,402.7,2001-2023,1.0,['1344'],1976-2001,2.0,"['1999.92 - 2019.92', '2000.17 - 2018.25']"
RGI60-17.04359,SAN,1,-73.3531,-52.4328,0.306,28815.0,no_obs,no_obs,no_obs,no_obs,no_obs,no_obs,no_obs,no_obs,no_obs,no_obs,no_obs
RGI60-17.04360,SAN,1,-73.3607,-52.4262,0.01,no_WGMS_ID,no_obs,no_obs,no_obs,no_obs,no_obs,no_obs,no_obs,no_obs,no_obs,no_obs,no_obs
